TITLE,ARTIST,KEY,DURATION,TEMPO,COUNTIN,BACKING,NORD,ROLAND,VE,PERFORMANCE KEY,TIME SIGNATURE,SONG ID,SONG LABEL,ENERGY LEVEL,VOCAL INTENSITY,GENRE PRIMARY,GENRE SECONDARY,SING ALONG
There's A Kind Of Hush,Carpenters,G,2:35,128,,,,,,,,ABC:C:Carpenters:TheresAKindOfHush,,4,FULL,Soft Pop,,false
Before He Cheats,Carrie Underwood,F#m,2:50,150,,,,,,,,ABC:C:CarrieUnderwood:BeforeHeCheats,,8,FULL,Country Rock,,true
Drive,The Cars,B,,,,,,,,,,ABC:C:Cars:Drive,,3,FULL,New Wave,,false
Magic,The Cars,A,4:00,125,,RC,,,,,,ABC:C:Cars:Magic,,7,FULL,New Wave,Pop Rock,false
My Best Friend's Girl,The Cars,F,3:45,130,,,,,,,,ABC:C:Cars:MyBestFriendsGirl,,7,FULL,New Wave,Pop Rock,false
You Might Think,The Cars,D,3:04,140,,,,,,,,ABC:C:Cars:YouMightThink,,7,FULL,New Wave,,false
Wild World,Cat Stevens,Dm,3:30,152,,,,,,,,ABC:C:CatStevens:WildWorld,,4,FULL,Folk,,false
Ain't Nobody,Chaka Khan / Rufus,Em,,,,,,,,,,ABC:C:ChakaKhan:AintNobody,,7,FULL,Funk,Soul,true
Ain't Nobody - Guitar,Chaka Khan / Rufus,Em,,,,,,,,,,ABC:C:ChakaKhan:AintNobody-Guitar,,7,NONE,Funk,Soul,false
Pink Pony Club,Chappell Roan,F,4:10,106,4,RC,,,,,,ABC:C:ChappellRoan:PinkPonyClub,Pink  Pony,8,FULL,Pop,,true
I Want You To Want Me,Cheap Trick,A,4:00,110,,,,,,,,ABC:C:CheapTrick:IWantYouToWantMe,,7,FULL,Power Pop,,true
Fool If You Think It's Over,Chris Rea,Am,4:10,110,,,N52,,,,,ABC:C:ChrisRea:FoolIfYouThinkItsOver,,4,FULL,Soft Rock,,false
Starting Over,Chris Stapleton,G,3:45,90,4,RC,D53,,,Bb,,ABC:C:ChrisStapleton:StartingOver,Start Over,4,FULL,Country,,false
Where Are You Listening To?,Chris Stapleton,Bb,,,,,,,,,,ABC:C:ChrisStapleton:WhatAreYouListeningToo,,,,,,
Ride Like The Wind,Christopher Cross,Eb,4:00,125,,,P33,,,,,ABC:C:ChristopherCross:RideLikeTheWind,,5,FULL,Soft Rock,Yacht Rock,false
Sailing,Christopher Cross,D,4:15,80,,,P33,,,,,ABC:C:ChristopherCross:Sailing,,1,FULL,Soft Rock,Yacht Rock,false
A Better Man,Clint Black,E,3:00,162,4,RC,O55,,,E,,ABC:C:ClintBlack:ABetterMan,,4,FULL,Country,,false
Fix You,Cold Play,Cm,3:45,138,,,,,,,,ABC:C:ColdPlay:FixYou,,4,FULL,Alternative,Pop Rock,true
Speed Of Sound,Coldplay,A,3:35,124,,,,,,,,ABC:C:ColdPlay:SpeedOfSound,,6,FULL,Alternative,,false
Easy,Commodores,Ab,4:10,67,4,RC,P55-3,,,,,ABC:C:Commodores:Easy,Easy,2,FULL,Soul,Ballad,false
Easy,Commodores,F,3:40,67,4,RC,P55-3,,,,,ABC:C:Commodores:Easy-f,Easy,2,FULL,Soul,Ballad,false
Sail On,Commodores,D,,,,,,,,,,ABC:C:Commodores:SailOn,,3,FULL,Soul,Soft Rock,false
Pretty Little Baby,Connie Francis,Db,,,,,,,,,,ABC:C:ConnieFrancis:PrettyLittleBaby,,5,FULL,Pop,Oldies,false
Who's Sorry Now,Connie Francis,Bb,,,,,,,,,,ABC:C:ConnieFrancis:WhosSorryNow,,4,FULL,Pop,Oldies,false
Put Your Records On,Corrine Bailey Rae,A,3:00,96,4,,N24,,,,,ABC:C:CorrineBailyRae:PutYourRecordsOn,,5,FULL,Soul,Pop,false
Accidentally In Love,Counting Crows,G,3:00,138,4,,O11,,,,,ABC:C:CountingCrows:AccidentallyInLove,,7,FULL,Pop Rock,,true
Don't Dream It's Over,Crowded House,C,3:40,81,4,RC,,,,C,,ABC:C:CrowdedHouse:DontDreamItsOver,,4,FULL,Rock,,true
Friday I'm In Love,The Cure,D,3:15,136,5,RC,,,,,,ABC:C:Cure:FridayImInLove,FridayInLove,7,FULL,Alternative,New Wave,true
Just Like Heaven,The Cure,A,3:10,153,,,,,,,,ABC:C:Cure:JustLikeHeaven,,7,FULL,Alternative,New Wave,false
( I Just ) Died In Your Arms,Cutting Crew,Bm,4:05,125,8,RC,P15,,,,,ABC:C:CuttingCrew:DiedInYourArms,DiedInYrArms,6,FULL,Rock,,false
Beautiful Sunday,Daniel Boone,C,3:00,120,,,P55,,,,,DEF:D:DanielBoone:BeautifulSunday,,6,FULL,Pop,,false
Hold My Hand,Hootie (Darius Rucker) and the Blowfish,B,3:35,101,,,,,,,,DEF:D:DariusRucker:HoldMyHand,,7,FULL,Pop Rock,,true
Wagon Wheel,Darius Rucker,G,3:50,148,4,,O55,,,,,DEF:D:DariusRucker:WagonWheel,Wagon Wheel,7,FULL,Country,Folk,true
Party Crowd,David Lee Murphy,G,3:00,127,,,,,,,,DEF:D:DavidLeeMurphy:PartyCrowd,,7,FULL,Country,,false
Leap Of Faith,Delbert McClinton,B,,,,,,,,,,DEF:D:DelbertMcClinton:LeapOfFaith,,5,FULL,Blues Rock,,false
Enjoy the Silence,Depeche Mode,Bm,,,,,,,,,,DEF:D:DepecheMode:EnjoyTheSilence,,5,FULL,Synth Pop,New Wave,false
One More Day,Diamond Rio,E,3:45,100,,,,,,,,DEF:D:DiamondRio:OneMoreDay,,3,FULL,Country,,false
Heartbreaker,Dionne Warwick / Bee Gees,G,,,,,,,,,,DEF:D:DioneWarwick:HeartBreaker,,7,FULL,Pop,Disco,false
Then Came You,Dionne Warwick,F,3:00,116,4,RC,M23,,,,,DEF:D:DioneWarwick:ThenCameYou,Then  Came,6,FULL,Soul,Pop,false
Let 'Er Rip,Dixie Chicks,A,3:00,150,,,N53,,,,,DEF:D:DixieChicks:LetErRip,,7,FULL,Country,,false
Some Days You Gotta Dance,Dixie Chicks,E,2:28,170,,,,,,,,DEF:D:DixieChicks:SomeDaysYouGottaDance,,7,FULL,Country,,false
Wide Open Spaces,Dixie Chicks,D,3:00,90,,,N31,,,,,DEF:D:DixieChicks:WideOpenSpaces,,6,FULL,Country,,true
The End Of The Innocence,Don Henley,G,3:55,120,4,RC,O55,,,,,DEF:D:DonHenley:TheEndOfTheInnocence,,4,FULL,Rock,,false
Vincent,Don McLean,G,,,,,,,,,,DEF:D:DonMcLean:Vincent,,2,FULL,Folk,Ballad,false
Hot Stuff,Donna Summer,Gm,,,,,,,,,,DEF:D:DonnaSummer:HotStuff,,9,FULL,Disco,,true
Long Train Runnin',Doobie Brothers,Gm,3:20,117,4,RC,,,,,,DEF:D:DoobieBros:LongTrainRunning,Long  Train,8,FULL,Rock,,false
Long Train Runnin’,Doobie Brothers,Gm,,,,,,,,,,DEF:D:DoobieBros:LongTrainRunning-MVP,,8,FULL,Rock,,false
Takin' It To The Streets,Doobie Brothers,F,,,,,,,,,,DEF:D:DoobieBros:TakinItToTheStreets,,7,FULL,Rock,Soul,false
Takin' It To The Streets,Doobie Brothers,B,,,,,,,,,,DEF:D:DoobieBros:TakinItToTheStreets-b,,7,FULL,Rock,Soul,false
Sharing The Night Together,Dr. Hook,C,2:45,154,4,RC,P11,,,E,,DEF:D:DrHook:SharingTheNightTogether,,5,FULL,Soft Rock,,false
Sharing The Night Together,Dr. Hook,E,2:45,154,4,RC,P11,,,E,,DEF:D:DrHook:SharingTheNightTogether-e,,5,FULL,Soft Rock,,false
Levitating,Dua Lipa,Am,,,,,,,,,,DEF:D:DuaLipa:Levitating,,9,FULL,Pop,Disco,true
Love Again,Dua Lipa,F#m,3:50,116,,,,,,,,DEF:D:DuaLipa:LoveAgain,,8,FULL,Pop,,false
Ordinary World,Duran Duran,Bm,4:35,140,8,RC,N32,,,Bm,,DEF:D:DuranDuran:OrdinaryWorld,OrdnryWorld,4,FULL,New Wave,Pop Rock,false
Ain't That Lonely Yet,Dwight Yoakam,F,3:10,107,,,,,,,,DEF:D:DwightYokam:AintThatLonelyYet,,6,FULL,Country,,false
