ARTIST,BACKING,CAPO,CHORDPRO FILENAME,COUNTIN,DURATION,KEY,NORD,PERFORMANCE KEY,TEMPO,TIME SIGNATURE,TITLE,VE,VERSION
Don McLean,,,./cho/DEF/D/DonMcLean/Vincent.cho,,,G,,,,,Vincent,,
Dionne Warwick / Bee Gees,,,./cho/DEF/D/DioneWarwick/HeartBreaker.cho,,,G,,,,,Heartbreaker,,
Dionne Warwick,33,,./cho/DEF/D/DioneWarwick/ThenCameYou.cho,,3:00,F,M23,,116,,Then Came You,,
Dixie Chicks,,,./cho/DEF/D/DixieChicks/LetErRip.cho,,3:00,A,N53,,150,,Let 'Er Rip,,
Dixie Chicks,,,./cho/DEF/D/DixieChicks/WideOpenSpaces.cho,,3:00,D,,,,,Wide Open Spaces,,
Dixie Chicks,,,./cho/DEF/D/DixieChicks/SomeDaysYouGottaDance.cho,,2:28,E,,,170,,Some Days You Gotta Dance,,
Eric Clapton,,,./cho/DEF/E/EricClapton/NobodyKnowsYou.cho,4,3:50,C,N45,C,89,,Nobody Knows You When You're Down And Out,,
Eric Clapton,,,./cho/DEF/E/EricClapton/SanFranciscoBayBlues.cho,,3:00,C,,,162,,San Francisco Bay Blues,,
Eric Clapton,,,./cho/DEF/E/EricClapton/Layla.cho,,4:00,Dm,???,Dm,94,,Layla,,
Eric Clapton,,,./cho/DEF/E/EricClapton/Cocaine.cho,,,,,,,,Cocaine,,
Eric Clapton,,,./cho/DEF/E/EricClapton/OverTheRainbow-E.cho,,,E,,,,,Over the Rainbow,,
Edward Bear,,,./cho/DEF/E/EdwardBear/LastSong.cho,,3:00,G,P55,,,,Last Song,,
Eddie Holman,,,./cho/DEF/E/EddieHolman/HeyThereLonelyGirl.cho,,3:00,G,,,,,Hey There Lonely Girl,,
Eagles,,,./cho/DEF/E/Eagles/LoveWillKeepUsAlive.cho,,,A,,,90,,Love Will Keep Us Alive,,
Eagles,,,./cho/DEF/E/Eagles/LyinEyes.cho,8,3:45,G,O55,,,,Lyin' Eyes,,
Eagles,,,./cho/DEF/E/Eagles/ICantTellYouWhy.cho,,,Bm,,,,,I Can't Tell You Why,,
Elton John,,,./cho/DEF/E/EltonJohn/Daniel-A.cho,,,A,,,,,Daniel,,
Elton John,,,./cho/DEF/E/EltonJohn/CrocodileRock.cho,,3:10,G,???,G,151,,Crocodile Rock,,
Elton John,,,./cho/DEF/E/EltonJohn/Daniel.cho,,,C,,,,,Daniel,,
Elvis,,,./cho/DEF/E/Elvis/BurningLove.cho,,,D,,,144,,Burning Love,,
Eddie Money,,,./cho/DEF/E/EddieMoney/ThinkImInLove.cho,,4:00,,,,152,,Think I'm In Love,,
Etta James,57,,./cho/DEF/E/EttaJames/DownhomeBlues.cho,4,4:30,G,P55,,,,Downhome Blues,,
England Dan / John Ford Coley,,,./cho/DEF/E/EnglandDanJohnFordColey/IdReallyLoveToSeeYouTonight.cho,,,F,,,,,I'd Really Love To See You Tonight,,
ELO ( Jeff Lynne ),,,./cho/DEF/E/ELO/WhenIWasABoy.cho,,,C,,,,,When I Was A Boy,,
ELO,,,./cho/DEF/E/ELO/CantGetYouOutOfMyHead.cho,,,,,,,,Can't Get You Out Of My Head,,
